step,time_s,L1,L2,L3,L4,L5,L6,R1,R2,R3,R4,R5,R6
43,0.172000,-0.00829404965,0.123787507,0.0826205388,0.00243999809,0.0111606168,0.00120605156,3.55119482e-07,-5.47339596e-06,1.43218085e-05,-4.29802913e-06,-1.56991555e-05,7.21585748e-05
44,0.176000,-0.00833342597,0.124132343,0.0829961598,0.00244411081,0.0111774821,0.00120610744,6.75074716e-08,-5.38006771e-06,1.41187566e-05,-4.29316697e-06,-1.566428e-05,7.21561009e-05
45,0.180000,-0.00837232545,0.124482185,0.0833341628,0.00244814903,0.0111938789,0.00120615214,-2.93844323e-07,-5.27856719e-06,1.39418471e-05,-4.29357897e-06,-1.56401493e-05,7.2152543e-05
46,0.184000,-0.0127491746,0.31638211,0.170698643,-0.00125727057,0.0130003458,0.0644080043,-4.53783514e-07,-5.19150035e-06,1.37596453e-05,-4.29369311e-06,-1.56076858e-05,7.21502292e-05
47,0.188000,-0.0135657713,0.313005835,0.180453181,-5.75184822e-05,0.0129681937,0.0648901835,-4.07311973e-07,-5.11409962e-06,1.35572736e-05,-4.29280044e-06,-1.55759571e-05,7.21479519e-05
48,0.192000,-0.0138239386,0.310491741,0.187521219,0.000715494156,0.0129386336,0.0651675612,-2.58937916e-07,-5.0370345e-06,1.33591375e-05,-4.27597706e-06,-1.55427697e-05,7.2144896e-05
49,0.196000,-0.0139563624,0.308723927,0.192692965,0.00114895403,0.0129104145,0.0653960481,-1.6281183e-07,-4.94724645e-06,1.31886391e-05,-4.27249461e-06,-1.55127145e-05,7.21405522e-05
50,0.200000,-0.014039848,0.307502091,0.196487144,0.00133760273,0.0128832562,0.0656070486,-1.53338533e-07,-4.89173226e-06,1.29966684e-05,-4.2655829e-06,-1.5483658e-05,7.21380493e-05
51,0.204000,-0.0141041782,0.306675911,0.199279949,0.0013486445,0.0128568402,0.0658107251,-2.70702458e-07,-4.81216557e-06,1.28252759e-05,-4.25934468e-06,-1.54525223e-05,7.21353863e-05
52,0.208000,-0.014158532,0.306135595,0.201344579,0.00123235583,0.012830954,0.0660031438,-4.32590923e-07,-4.73036471e-06,1.2670298e-05,-4.26165934e-06,-1.54185127e-05,7.21320612e-05
53,0.212000,-0.0142109925,0.305801213,0.202879846,0.00102445483,0.012805447,0.0661878735,-6.46379476e-07,-4.64542154e-06,1.24753888e-05,-4.25762209e-06,-1.53842248e-05,7.21298275e-05
54,0.216000,-0.0142626157,0.305614322,0.204029709,0.000751927495,0.0127802053,0.0663664117,-8.62613433e-07,-4.55691861e-06,1.23097861e-05,-4.25249118e-06,-1.53505989e-05,7.2126546e-05
55,0.220000,-0.0143133299,0.305532902,0.204899639,0.000433042645,0.0127551248,0.0665402114,-1.03466527e-06,-4.47489811e-06,1.21450948e-05,-4.25439339e-06,-1.53227229e-05,7.21239194e-05
56,0.224000,-0.0143636568,0.305526376,0.205565915,8.19414854e-05,0.0127301626,0.066709511,-1.27221779e-06,-4.39153064e-06,1.19869701e-05,-4.25264489e-06,-1.52934535e-05,7.21210454e-05
57,0.228000,-0.0144140311,0.305572599,0.206083611,-0.00029066205,0.0127052581,0.0668748617,-1.39283543e-06,-4.31485796e-06,1.18303378e-05,-4.24935297e-06,-1.525894e-05,7.21189208e-05
58,0.232000,-0.0144639481,0.305655032,0.206493109,-0.00067807734,0.0126803853,0.0670366064,-1.57434306e-06,-4.23443362e-06,1.16668571e-05,-4.24323389e-06,-1.52249859e-05,7.21157121e-05
59,0.236000,-0.0145131499,0.305762559,0.206823811,-0.00107456744,0.0126554705,0.0671953261,-1.59012529e-06,-4.16182775e-06,1.14925924e-05,-4.23471556e-06,-1.51902077e-05,7.21134929e-05
60,0.240000,-0.0145617481,0.305886507,0.207096875,-0.00147689879,0.012630634,0.0673507303,-1.58612465e-06,-4.09390441e-06,1.13222968e-05,-4.23143774e-06,-1.51566837e-05,7.21117976e-05
61,0.244000,-0.0177054908,0.479920894,0.322027564,-0.100702137,0.0137116984,0.144281119,-1.61897128e-06,-4.02338264e-06,1.1170192e-05,-4.22448466e-06,-1.51240565e-05,7.21088509e-05
62,0.248000,-0.0185255334,0.47699824,0.330264628,-0.0997964442,0.0140280193,0.144544318,-1.59047613e-06,-3.92580205e-06,1.10265255e-05,-4.22150288e-06,-1.50924061e-05,7.21062897e-05
63,0.252000,-0.0187712088,0.474770337,0.33618322,-0.0992443413,0.0140914917,0.144703194,-1.55744578e-06,-3.87716409e-06,1.08358445e-05,-4.20698325e-06,-1.50574479e-05,7.21027027e-05
64,0.256000,-0.0189008657,0.473176062,0.340484917,-0.0989868939,0.0141090574,0.144858599,-1.5512021e-06,-3.80868755e-06,1.06717398e-05,-4.20388687e-06,-1.50219967e-05,7.21004617e-05
65,0.260000,-0.0189922228,0.472042352,0.343615681,-0.0989422202,0.0141121754,0.145006642,-1.51762561e-06,-3.73897296e-06,1.0519243e-05,-4.19654134e-06,-1.49926873e-05,7.20976968e-05
66,0.264000,-0.0190707613,0.471242011,0.345897317,-0.0990492553,0.0141110066,0.145147189,-1.63840741e-06,-3.67298071e-06,1.03762313e-05,-4.19677644e-06,-1.49611678e-05,7.20951284e-05
67,0.268000,-0.0191445556,0.470681816,0.347563982,-0.0992660075,0.0141086932,0.145281374,-1.725733e-06,-3.60975741e-06,1.021556e-05,-4.18758646e-06,-1.49296829e-05,7.20924581e-05
68,0.272000,-0.0192170702,0.470294833,0.348784804,-0.0995597839,0.0141062355,0.145410836,-1.87084765e-06,-3.53683299e-06,1.00829366e-05,-4.18414538e-06,-1.48978061e-05,7.20902754e-05
69,0.276000,-0.0192884021,0.470031708,0.349682897,-0.0999090672,0.0141036501,0.145535722,-2.02251294e-06,-3.46661204e-06,9.93133108e-06,-4.18382433e-06,-1.48698555e-05,7.20874959e-05
70,0.280000,-0.0193587989,0.469857723,0.350346923,-0.100295365,0.0141010247,0.145657003,-2.16982562e-06,-3.37469146e-06,9.78975004e-06,-4.18301988e-06,-1.48333711e-05,7.20850367e-05
71,0.284000,-0.0194284748,0.469746232,0.35084182,-0.100708649,0.0140981255,0.145774782,-2.28661884e-06,-3.33932985e-06,9.62535432e-06,-4.17438696e-06,-1.48005765e-05,7.20825847e-05
72,0.288000,-0.0194973983,0.469679654,0.351214349,-0.101139367,0.0140950354,0.145889908,-2.26894076e-06,-3.2602411e-06,9.47304943e-06,-4.1693711e-06,-1.47623996e-05,7.20802564e-05
73,0.292000,-0.0195656046,0.46964401,0.351498336,-0.101581201,0.0140916882,0.146002457,-2.28443423e-06,-3.19604601e-06,9.32573403e-06,-4.15862314e-06,-1.4729816e-05,7.20788084e-05
74,0.296000,-0.0196331013,0.469630003,0.351718217,-0.102029711,0.0140880458,0.146112651,-2.31030799e-06,-3.13584178e-06,9.19274316e-06,-4.15499289e-06,-1.46935836e-05,7.20763855e-05
75,0.300000,-0.0196999442,0.469630659,0.351891786,-0.102481574,0.0140840737,0.146220505,-2.33994479e-06,-3.07556502e-06,9.04171338e-06,-4.14820215e-06,-1.46557886e-05,7.20742246e-05
76,0.304000,-0.022342978,0.635285378,0.461357117,-0.197367683,0.0140564553,0.22315985,-2.3590344e-06,-2.99479279e-06,8.91005129e-06,-4.14554188e-06,-1.46300263e-05,7.20713651e-05
77,0.308000,-0.0231374167,0.632569134,0.468935907,-0.196610898,0.0139944004,0.223624825,-2.39865858e-06,-2.93860421e-06,8.78107858e-06,-4.13366161e-06,-1.45921322e-05,7.20692406e-05
78,0.312000,-0.0233771745,0.63046062,0.474307477,-0.196148187,0.0139392167,0.223826736,-2.48684364e-06,-2.89430136e-06,8.62615707e-06,-4.13350335e-06,-1.45552622e-05,7.20669705e-05
79,0.316000,-0.0235055741,0.628931284,0.478168875,-0.19596307,0.013884929,0.223993137,-2.50186577e-06,-2.81217808e-06,8.49790013e-06,-4.12906684e-06,-1.45140566e-05,7.20645403e-05
80,0.320000,-0.0236018151,0.62782228,0.48094517,-0.19597654,0.0138314757,0.224143982,-2.60320849e-06,-2.7500007e-06,8.36431627e-06,-4.1180956e-06,-1.44784835e-05,7.20624957e-05
81,0.324000,-0.0236879811,0.627016485,0.482941449,-0.196132034,0.0137784556,0.224285662,-2.55964187e-06,-2.71343606e-06,8.21786853e-06,-4.10692837e-06,-1.44210326e-05,7.20596508e-05
82,0.328000,-0.0237706639,0.626428068,0.484375864,-0.196387351,0.0137257613,0.224421069,-2.72036596e-06,-2.64896153e-06,8.07520155e-06,-4.0937266e-06,-1.43536554e-05,7.20570533e-05
83,0.332000,-0.0238519013,0.625995338,0.485407025,-0.19671388,0.0136732608,0.224551544,-2.55218265e-06,-2.61825062e-06,7.93380605e-06,-4.02635669e-06,-1.31271754e-05,7.13811896e-05
84,0.336000,-0.0239322726,0.625674009,0.486148447,-0.197089612,0.0136208795,0.224678501,-2.67449605e-06,-2.65140693e-06,7.78490721e-06,-3.93082473e-06,-1.05045719e-05,6.98116564e-05
85,0.340000,-0.0240120348,0.625431955,0.486681223,-0.197498277,0.0135685112,0.224802315,-2.81376924e-06,-2.67904375e-06,7.60102512e-06,-3.82145936e-06,-7.84916756e-06,6.82252939e-05
86,0.344000,-0.0240910817,0.625246108,0.487064958,-0.197929949,0.0135161756,0.224923283,-2.94943584e-06,-2.70724672e-06,7.45962188e-06,-3.71685815e-06,-5.2062469e-06,6.66434062e-05
87,0.348000,-0.0241694693,0.625100613,0.487341642,-0.198375493,0.0134637887,0.225042105,-3.10301812e-06,-2.75535717e-06,7.29948442e-06,-3.61642788e-06,-2.6111984e-06,6.50907969e-05
88,0.352000,-0.0242494885,0.624982297,0.487541765,-0.198830187,0.0134465303,0.225137532,-3.26178588e-06,-2.78788389e-06,7.13421468e-06,-3.51228596e-06,-3.5058747e-09,6.35326651e-05
89,0.356000,-0.0243300088,0.624882936,0.487687051,-0.199289516,0.0134574436,0.225214332,-3.37405049e-06,-2.80308836e-06,7.00086957e-06,-3.40487804e-06,2.69608427e-06,6.192398e-05
90,0.360000,-0.0244090073,0.624797165,0.487793326,-0.199750811,0.013464476,0.225291386,-3.53945779e-06,-2.8336533e-06,6.84303586e-06,-3.30236981e-06,5.25704945e-06,6.03881745e-05
91,0.364000,-0.0268059913,0.778443575,0.590369463,-0.289515764,0.013258446,0.300659865,-3.68231622e-06,-2.86287741e-06,6.67885115e-06,-3.20201889e-06,7.86524106e-06,5.88300172e-05
92,0.368000,-0.0276588574,0.775924623,0.597334504,-0.288878888,0.0142845763,0.300482005,-3.84338136e-06,-2.90753951e-06,6.50993479e-06,-3.10205496e-06,1.04868968e-05,5.72623612e-05
93,0.372000,-0.0279018898,0.77394861,0.602191508,-0.28847447,0.0145909777,0.300453603,-3.9911065e-06,-2.94137226e-06,6.36979439e-06,-2.99726094e-06,1.30766848e-05,5.57126477e-05
94,0.376000,-0.0280236993,0.772511065,0.605642438,-0.288331151,0.0146267526,0.300547034,-4.14959868e-06,-2.97081397e-06,6.19996536e-06,-2.90069192e-06,1.56565748e-05,5.41696609e-05
95,0.380000,-0.0281208288,0.771457613,0.60809201,-0.288374096,0.0146090528,0.300658137,-4.28787098e-06,-2.9824489e-06,6.0712473e-06,-2.7962401e-06,1.82079602e-05,5.26415679e-05
96,0.384000,-0.0282131564,0.770677924,0.60982728,-0.28854841,0.0145872701,0.300763845,-4.44674697e-06,-3.01561568e-06,5.94086168e-06,-2.69885595e-06,2.07760786e-05,5.11053004e-05
97,0.388000,-0.0283046737,0.770093083,0.611053526,-0.288815409,0.0145704858,0.30086121,-4.60022193e-06,-3.04916807e-06,5.78545132e-06,-2.59312264e-06,2.33724204e-05,4.95514068e-05
98,0.392000,-0.0283961352,0.769647121,0.61191678,-0.289146483,0.0145592373,0.300950795,-4.75412253e-06,-3.08115455e-06,5.64566744e-06,-2.49195591e-06,2.5922327e-05,4.80254894e-05
99,0.396000,-0.0284874495,0.769299865,0.612521768,-0.289521098,0.0145523222,0.301034659,-4.90941193e-06,-3.11380177e-06,5.50483946e-06,-2.39442556e-06,2.84671605e-05,4.65039084e-05
100,0.400000,-0.0285785329,0.769023001,0.612943351,-0.289925039,0.0145483315,0.301113874,-5.06865354e-06,-3.15034799e-06,5.36265316e-06,-2.29360262e-06,3.10411524e-05,4.49617364e-05
101,0.404000,-0.0286691394,0.768795967,0.613234878,-0.290348589,0.0145465909,0.301189572,-5.24717188e-06,-3.17786589e-06,5.23471135e-06,-2.1979663e-06,3.35527329e-05,4.34557769e-05
102,0.408000,-0.0287592988,0.768604934,0.613434017,-0.290783584,0.01454644,0.301262319,-5.4078464e-06,-3.2151288e-06,5.08265975e-06,-2.09497421e-06,3.6096968e-05,4.1932708e-05
103,0.412000,-0.0288464502,0.76843977,0.613567829,-0.291224241,0.0145108644,0.301354647,-5.56928626e-06,-3.24274129e-06,4.94327742e-06,-1.99967644e-06,3.85875464e-05,4.04403472e-05
104,0.416000,-0.0289314315,0.76829344,0.613655865,-0.291667461,0.0144441947,0.301464379,-5.71882902e-06,-3.27730027e-06,4.81067582e-06,-1.90554408e-06,4.11184265e-05,3.8925511e-05
105,0.420000,-0.0290164072,0.768160462,0.613711715,-0.292110711,0.0143773379,0.30157274,-5.88619923e-06,-3.30802527e-06,4.67534483e-06,-1.80792767e-06,4.36099035e-05,3.74318697e-05
106,0.424000,-0.0315372683,0.916736722,0.715006709,-0.380880415,0.0142153343,0.377501607,-6.04416437e-06,-3.34267179e-06,4.53562643e-06,-1.70998453e-06,4.61136005e-05,3.5933419e-05
107,0.428000,-0.0323653184,0.914262235,0.7221452,-0.380193889,0.0142181348,0.377989531,-6.21974641e-06,-3.37814095e-06,4.39514315e-06,-1.60819548e-06,4.86307836e-05,3.44244654e-05
108,0.432000,-0.0326167569,0.912268162,0.727033198,-0.379715204,0.0141356578,0.378200114,-6.37934272e-06,-3.40848942e-06,4.27237546e-06,-1.51831614e-06,5.11284888e-05,3.29291506e-05
109,0.436000,-0.0327516086,0.910812795,0.730461299,-0.379514456,0.0140539911,0.378365934,-6.53769393e-06,-3.44169212e-06,4.14506712e-06,-1.41421606e-06,5.36284024e-05,3.1434367e-05
110,0.440000,-0.0328562111,0.909743667,0.732860923,-0.379508197,0.0139730144,0.37851429,-6.71487669e-06,-3.48338494e-06,4.01531179e-06,-1.32775938e-06,5.61003581e-05,2.99495914e-05
111,0.444000,-0.0329528786,0.908948421,0.734535336,-0.379638851,0.0138923889,0.378653169,-6.88561295e-06,-3.51228141e-06,3.87586624e-06,-1.22708923e-06,5.85603048e-05,2.84763264e-05
112,0.448000,-0.0330478959,0.908346832,0.735697627,-0.379864037,0.0138119031,0.378785402,-7.05515504e-06,-3.56277292e-06,3.74209048e-06,-1.13120268e-06,6.10385177e-05,2.69900083e-05
113,0.452000,-0.0331426598,0.907882988,0.736499012,-0.380154014,0.0137315774,0.378913611,-7.20794924e-06,-3.58529724e-06,3.62939431e-06,-1.03809589e-06,6.34749158e-05,2.55337327e-05
114,0.456000,-0.0332373753,0.907515347,0.737045407,-0.380488098,0.013651209,0.379038751,-7.37461869e-06,-3.61988987e-06,3.51541121e-06,-9.42763734e-07,6.59507132e-05,2.40476948e-05
115,0.460000,-0.033331871,0.907217264,0.737412691,-0.380850405,0.0135709625,0.379161119,-7.54945404e-06,-3.6534143e-06,3.38576319e-06,-8.48216018e-07,6.83799008e-05,2.25898148e-05
116,0.464000,-0.0334260762,0.906968176,0.737654448,-0.381231815,0.0134905428,0.379281521,-7.73067222e-06,-3.68662927e-06,3.2527746e-06,-7.59824616e-07,7.07727377e-05,2.11557526e-05
117,0.468000,-0.0335196704,0.906753957,0.737807989,-0.381624252,0.0134101249,0.37940073,-7.88671878e-06,-3.73777948e-06,3.10289033e-06,-6.57821147e-07,7.32624248e-05,1.96647343e-05
118,0.472000,-0.0336125866,0.906564236,0.737899303,-0.382021546,0.0133297034,0.379518151,-8.07359356e-06,-3.75305603e-06,2.99934277e-06,-5.7076852e-07,7.56688314e-05,1.82186577e-05
119,0.476000,-0.0337046683,0.906392336,0.73794806,-0.38242209,0.0132490899,0.379634827,-8.24340532e-06,-3.79145536e-06,2.87643888e-06,-4.69148404e-07,7.81032286e-05,1.67608196e-05
120,0.480000,-0.0337958597,0.906232893,0.737966955,-0.382822216,0.0131684681,0.379750609,-8.42293684e-06,-3.84313898e-06,2.75236926e-06,-3.79065739e-07,8.05233722e-05,1.53090787e-05
121,0.484000,-0.036535725,1.05467558,0.840633512,-0.471312463,0.0130929165,0.454792053,-8.5880356e-06,-3.86028933e-06,2.64322489e-06,-2.89820321e-07,8.2923325e-05,1.38679106e-05
122,0.488000,-0.0373942144,1.05224967,0.848092854,-0.470543474,0.0129774241,0.455446929,-8.76570266e-06,-3.90069454e-06,2.52545101e-06,-1.94705223e-07,8.53277161e-05,1.24289381e-05
123,0.492000,-0.0376459882,1.05020642,0.853091776,-0.469954997,0.0128812529,0.455686361,-8.92402477e-06,-3.95027701e-06,2.42063879e-06,-1.02603167e-07,8.76971317e-05,1.1008512e-05
124,0.496000,-0.0377803184,1.04872358,0.856555343,-0.469664395,0.0127861416,0.455869645,-9.11701773e-06,-3.98933753e-06,2.30495789e-06,-1.90435543e-08,9.00984451e-05,9.56463919e-06
125,0.500000,-0.0378859304,1.04763889,0.858948469,-0.469582617,0.0126916356,0.456034303,-9.2766295e-06,-4.01128409e-06,2.19181265e-06,7.94555604e-08,9.24584165e-05,8.15229305e-06
126,0.504000,-0.037982218,1.04683328,0.860592723,-0.469644487,0.0125975329,0.456188887,-9.4494153e-06,-4.06200297e-06,2.07767016e-06,1.71730889e-07,9.48167581e-05,6.73696286e-06
127,0.508000,-0.0380758494,1.046224,0.861714065,-0.469805896,0.0125036864,0.456336141,-9.64361425e-06,-4.09732547e-06,1.97146574e-06,2.58631644e-07,9.72315975e-05,5.28604414e-06
128,0.512000,-0.0381692238,1.0457536,0.862470567,-0.470034629,0.0124100279,0.456478566,-9.83267728e-06,-4.13835187e-06,1.84603482e-06,3.43565716e-07,9.95860828e-05,3.87355567e-06
